,Unnamed: 0,product_id,brand,gender,category,master_category,su_cCategory,article_type,mrp,price,discount,discount_type,discount_display_label,coupon_discount,best_price,rating,rating_count,listViews,inventory,available,sizes,has_multiple_sizes,snapshot_date,season,is_fast_fashion,promotion_tags,has_promotion,year,preferred_delivery_tag,delivery_promise,source_sort
1419,,30289834,Ambraee,Women,Dresses,Apparel,Dress,Dresses,4499,2249,2250,1.0,(50% OFF),500.0,1749.0,4.59999990463257,125,0,48,True,"XS,S,M,L,XL,XXL",True,2026-01-10,Fall,True,Festive_Price_Crash|Myntra_Unique,True,2024,,,recommended
1420,,29945566,GUESS,Women,Dresses,Apparel,Dress,Dresses,27500,16500,11000,1.0,(40% OFF),500.0,16000.0,0.0,0,0,1,True,"S,M,L,XL",True,2026-01-10,Spring,False,,False,2024,EXPRESS,Delivery By Jan 12,recommended
1421,,38977258,NOWI,Women,Dresses,Apparel,Dress,Dresses,2899,2899,0,,,500.0,2399.0,0.0,0,0,9,True,"XS,S,M,L",True,2026-01-10,Fall,False,,False,2025,,,recommended
1422,,28985790,Marks & Spencer,Women,Dresses,Apparel,Dress,Dresses,5999,2519,3480,1.0,(58% OFF),500.0,2019.0,3.85185194015503,27,0,12,True,"XS,S,M,L,XL,XXL,3XL,4XL",True,2026-01-10,Fall,True,Crazy_Deal|Festive_Price_Crash,True,2024,EXPRESS,Delivery By Jan 12,recommended
1423,,36359260,MANGO,Women,Dresses,Apparel,Dress,Dresses,6790,3395,3395,1.0,(50% OFF),500.0,2895.0,4.125,16,0,2,True,"XS,S,M,L,XL",True,2026-01-10,Fall,True,Myntra_Unique,True,2025,,,recommended
1425,,39022821,StyleCast,Women,Dresses,Apparel,Dress,Dresses,3899,3899,0,,,500.0,3399.0,0.0,0,0,200,True,"XS,S,M,L",True,2026-01-10,Winter,False,,False,2025,,,recommended
1426,,38941854,Inddus,Women,Ethnic Dresses,Apparel,Dress,Ethnic Dresses,4499,1899,2600,1.0,(58% OFF),500.0,1399.0,0.0,0,0,26,True,"XS,S,M,L",True,2026-01-10,Spring,False,Myntra_Unique,True,2026,,,recommended
1427,,27677280,Trendyol,Women,Dresses,Apparel,Dress,Dresses,4299,2149,2150,1.0,(50% OFF),500.0,1649.0,4.30303049087524,66,0,54,True,"XS,S,M",True,2026-01-10,Spring,True,Crazy_Deal|GST_Benefit_Included|Festive_Price_Crash|Myntra_Unique,True,2024,EXPRESS,Delivery By Jan 12,recommended
1428,,31831482,StyleCast x Revolte,Women,Dresses,Apparel,Dress,Dresses,4349,1783,2566,1.0,(59% OFF),500.0,1283.0,3.71428561210632,7,0,51,True,"S,M,L",True,2026-01-10,Fall,True,GST_Benefit_Included|Crazy_Deal|Festive_Price_Crash|Myntra_Unique,True,2024,,,recommended
1429,,39022690,StyleCast,Women,Dresses,Apparel,Dress,Dresses,4849,4849,0,,,500.0,4349.0,0.0,0,0,200,True,"XS,S,M,L",True,2026-01-10,Winter,False,,False,2025,,,recommended
1430,,33214885,PURVAJA,Women,Dresses,Apparel,Dress,Dresses,3399,2379,1020,1.0,(30% OFF),500.0,1879.0,4.02439022064209,615,0,2,True,"S,M,L,XL,XXL",True,2026-01-10,Summer,True,Crazy_Deal|Festive_Price_Crash,True,2025,,,recommended
1432,,26559642,StyleCast,Women,Dresses,Apparel,Dress,Dresses,4349,1652,2697,1.0,(62% OFF),496.0,1156.0,3.85365843772888,41,0,52,True,"S,M,L",True,2026-01-10,Fall,True,Myntra_Unique,True,2023,,,recommended
1433,,39040931,DressBerry,Women,Dresses,Apparel,Dress,Dresses,4199,2099,2100,1.0,(50% OFF),500.0,1599.0,0.0,0,0,100,True,"S,M,L,XL",True,2026-01-10,Summer,False,,False,2025,,,recommended
1434,,34341631,JC Mode,Women,Dresses,Apparel,Dress,Dresses,5299,3444,1855,1.0,(35% OFF),500.0,2944.0,3.0,13,0,2,True,"S,M,L,XL",True,2026-01-10,Summer,True,Crazy_Deal|Festive_Price_Crash|Myntra_Unique,True,2025,EXPRESS,Delivery By Jan 12,recommended
1435,,33188204,Miss Ethnik,Women,Ethnic Dresses,Apparel,Dress,Ethnic Dresses,13299,4255,9044,1.0,(68% OFF),500.0,3755.0,4.85714292526245,7,0,408,True,"L,XL,XXL,3XL,4XL",True,2026-01-10,Summer,False,,False,2025,,,recommended
1436,,32712443,Pink Paprika by SASSAFRAS,Women,Dresses,Apparel,Dress,Dresses,2999,1289,1710,1.0,(Rs. 1710 OFF),387.0,902.0,4.53077793121338,861,0,135,True,"XS,S,M,L,XL,XXL",True,2026-01-10,Spring,True,Festive_Price_Crash|GST_Benefit_Included|Crazy_Deal|Myntra_Unique,True,2025,,,recommended
1437,,39098627,NOWI,Women,Dresses,Apparel,Dress,Dresses,2899,2899,0,,,500.0,2399.0,0.0,0,0,9,True,"XS,S,M,L",True,2026-01-10,Fall,False,,False,2025,,,recommended
1439,,35957928,H&M,Women,Dresses,Apparel,Dress,Dresses,2099,2099,0,1.0,,500.0,1599.0,4.40000009536743,25,0,23,True,"XXS,XS,S,M,L,XL,XXL",True,2026-01-10,Winter,True,GST_Benefit_Included,True,2025,EXPRESS,Delivery By Jan 11,recommended
1440,,36983803,StyleCast,Women,Dresses,Apparel,Dress,Dresses,3949,1816,2133,1.0,(54% OFF),500.0,1316.0,1.33333337306976,45,0,11,True,"S,M,L,XL,XXL",True,2026-01-10,Summer,True,Myntra_Unique,True,2025,EXPRESS,Delivery By Jan 12,recommended
1441,,39155289,DressBerry,Women,Dresses,Apparel,Dress,Dresses,3999,1999,2000,1.0,(50% OFF),500.0,1499.0,0.0,0,0,100,True,"S,M,L,XL",True,2026-01-10,Summer,False,,False,2025,,,recommended
