,product_id,brand,gender,category,master_category,sub_category,article_type,mrp,price,discount,discount_type,discount_display_label,coupon_discount,best_price,rating,rating_count,list_views,inventory,available,sizes,has_multiple_sizes,snapshot_date,season,is_fast_fashion,promotion_tags,has_promotion,year,preferred_delivery_tag,delivery_promise,source_sort
4764,32274764,PIMU,Women,Dresses,Apparel,Dress,Dresses,3999,428,3571,1.0,(Rs. 3571 OFF),129.0,299.0,4.02029323577881,2661,0,30,True,"S,M,L,XL,XXL,3XL",True,2026-01-14,Summer,True,,False,2025,EXPRESS,Delivery By Jan 17,discount
4765,32660154,PIMU,Women,Dresses,Apparel,Dress,Dresses,3999,428,3571,1.0,(Rs. 3571 OFF),129.0,299.0,4.02488851547241,2692,0,5,True,"S,M,L,XL,XXL,3XL",True,2026-01-14,Summer,True,Festive_Price_Crash|Crazy_Deal,True,2025,EXPRESS,Delivery By Jan 17,discount
4766,33189636,PIMU,Women,Dresses,Apparel,Dress,Dresses,3999,428,3571,1.0,(Rs. 3571 OFF),129.0,299.0,3.88288283348084,111,0,30,True,"S,M,L,XL,XXL,3XL",True,2026-01-14,Summer,True,,False,2025,EXPRESS,Delivery By Jan 17,discount
4767,33189629,PIMU,Women,Dresses,Apparel,Dress,Dresses,3999,428,3571,1.0,(Rs. 3571 OFF),129.0,299.0,3.89189195632935,111,0,30,True,"S,M,L,XL,XXL,3XL",True,2026-01-14,Summer,True,,False,2025,EXPRESS,Delivery By Jan 17,discount
4768,33189882,PIMU,Women,Dresses,Apparel,Dress,Dresses,3999,428,3571,1.0,(Rs. 3571 OFF),129.0,299.0,2.59999990463257,5,0,30,True,"S,M,L,XL,XXL,3XL",True,2026-01-14,Summer,True,,False,2025,EXPRESS,Delivery By Jan 17,discount
4769,33189659,PIMU,Women,Dresses,Apparel,Dress,Dresses,3999,428,3571,1.0,(Rs. 3571 OFF),129.0,299.0,3.89189195632935,111,0,30,True,"S,M,L,XL,XXL,3XL",True,2026-01-14,Summer,True,,False,2025,EXPRESS,Delivery By Jan 17,discount
4770,33189657,PIMU,Women,Dresses,Apparel,Dress,Dresses,3999,428,3571,1.0,(Rs. 3571 OFF),129.0,299.0,3.88288283348084,111,0,30,True,"S,M,L,XL,XXL,3XL",True,2026-01-14,Summer,True,,False,2025,EXPRESS,Delivery By Jan 17,discount
4771,33265089,SXV STYLE,Women,Dresses,Apparel,Dress,Dresses,2500,268,2232,1.0,(89% OFF),81.0,187.0,0.0,0,0,48,True,"XS,S,M,L",True,2026-01-14,Summer,False,,False,2025,,,discount
4772,37482015,PIMU,Women,Dresses,Apparel,Dress,Dresses,3999,429,3570,1.0,(Rs. 3570 OFF),129.0,300.0,3.40000009536743,5,0,30,True,"S,M,L,XL,XXL,3XL",True,2026-01-14,Fall,True,,False,2025,EXPRESS,Delivery By Jan 17,discount
4773,32785459,S.K.C,Women,Dresses,Apparel,Dress,Dresses,6999,751,6248,1.0,(89% OFF),263.0,488.0,0.0,0,0,497,True,"S,M,L,XL",True,2026-01-14,Spring,False,Crazy_Deal|Festive_Price_Crash,True,2025,,,discount
4774,36683211,KALINI,Women,Dresses,Apparel,Dress,Dresses,2599,279,2320,1.0,(89% OFF),98.0,181.0,3.66129040718079,62,0,13,True,"S,M,L,XL",True,2026-01-14,Summer,True,Myntra_Unique,True,2025,EXPRESS,Delivery By Jan 17,discount
4775,36683212,KALINI,Women,Dresses,Apparel,Dress,Dresses,2599,279,2320,1.0,(89% OFF),98.0,181.0,3.66129040718079,62,0,12,True,"S,M,L,XL",True,2026-01-14,Summer,True,Myntra_Unique,True,2025,EXPRESS,Delivery By Jan 17,discount
4776,31776289,PIRRA DESIGNS,Women,Dresses,Apparel,Dress,Dresses,14070,1512,12558,1.0,(89% OFF),454.0,1058.0,0.0,0,0,1,True,"S,M,L,XL",True,2026-01-14,Spring,False,,False,2024,,,discount
4777,32660158,PIMU,Women,Dresses,Apparel,Dress,Dresses,3999,430,3569,1.0,(Rs. 3569 OFF),151.0,279.0,4.02565050125122,2690,0,1,True,"S,M,L,XL,XXL,3XL",True,2026-01-14,Summer,True,,False,2025,EXPRESS,Delivery By Jan 17,discount
4778,37676191,KALINI,Women,Dresses,Apparel,Dress,Dresses,3848,415,3433,1.0,(89% OFF),125.0,290.0,0.0,0,0,1,True,"XS,S,M,L,XL,XXL",True,2026-01-14,Winter,False,Myntra_Unique,True,2025,,,discount
4779,32831508,S.K.C,Women,Dresses,Apparel,Dress,Dresses,6999,755,6244,1.0,(89% OFF),265.0,490.0,0.0,0,0,499,True,"S,M,L,XL",True,2026-01-14,Spring,False,,False,2025,,,discount
4780,32831506,S.K.C,Women,Dresses,Apparel,Dress,Dresses,6999,755,6244,1.0,(89% OFF),265.0,490.0,0.0,0,0,499,True,"S,M,L,XL",True,2026-01-14,Spring,False,,False,2025,,,discount
4781,32778371,S.K.C,Women,Dresses,Apparel,Dress,Dresses,6999,755,6244,1.0,(89% OFF),265.0,490.0,0.0,0,0,499,True,"S,M,L,XL",True,2026-01-14,Spring,False,,False,2025,,,discount
4782,31362718,Amagyaa,Women,Dresses,Apparel,Dress,Dresses,4299,464,3835,1.0,(89% OFF),163.0,301.0,4.80000019073486,10,0,2,True,"XXS,XS,S,M,L,XL,XXL,3XL",True,2026-01-14,Summer,True,,False,2024,EXPRESS,Delivery By Jan 15,discount
4783,31362715,Amagyaa,Women,Dresses,Apparel,Dress,Dresses,4299,464,3835,1.0,(89% OFF),163.0,301.0,4.77777767181397,9,0,8,True,"XXS,XS,S,M,L,XL,XXL,3XL",True,2026-01-14,Summer,True,,False,2024,EXPRESS,Delivery By Jan 15,discount
4784,32009004,VenderVilla,Women,Dresses,Apparel,Dress,Dresses,3999,432,3567,1.0,(89% OFF),152.0,280.0,0.0,0,0,4,True,L,True,2026-01-14,Winter,False,,False,2024,,,discount
4785,32008926,VenderVilla,Women,Dresses,Apparel,Dress,Dresses,3999,432,3567,1.0,(89% OFF),152.0,280.0,0.0,0,0,4,True,XXL,True,2026-01-14,Winter,False,,False,2024,,,discount
4786,29434068,aayu,Women,Dresses,Apparel,Dress,Dresses,3999,434,3565,1.0,(Rs. 3565 OFF),152.0,282.0,4.06613206863403,499,0,119,True,"S,M,L,XL",True,2026-01-14,Summer,True,Crazy_Deal|Festive_Price_Crash,True,2024,EXPRESS,Delivery By Jan 15,discount
4787,29434094,aayu,Women,Dresses,Apparel,Dress,Dresses,3999,434,3565,1.0,(Rs. 3565 OFF),152.0,282.0,4.06613206863403,499,0,72,True,"S,M,L,XL",True,2026-01-14,Summer,True,,False,2024,EXPRESS,Delivery By Jan 15,discount
4788,29434148,aayu,Women,Dresses,Apparel,Dress,Dresses,3999,434,3565,1.0,(Rs. 3565 OFF),152.0,282.0,4.06666660308838,495,0,73,True,"S,M,L,XL",True,2026-01-14,Summer,True,,False,2024,EXPRESS,Delivery By Jan 15,discount
4789,39339215,LEGEND WEAR,Women,Dresses,Apparel,Dress,Dresses,7499,814,6685,1.0,(89% OFF),245.0,569.0,0.0,0,0,100,True,"S,M,L,XL,XXL",True,2026-01-14,Summer,False,,False,2026,,,discount
4790,39339214,LEGEND WEAR,Women,Dresses,Apparel,Dress,Dresses,7499,814,6685,1.0,(89% OFF),245.0,569.0,0.0,0,0,100,True,"S,M,L,XL,XXL",True,2026-01-14,Summer,False,,False,2026,,,discount
4791,37676219,KALINI,Women,Dresses,Apparel,Dress,Dresses,2999,326,2673,1.0,(89% OFF),115.0,211.0,0.0,0,0,15,True,"XS,S,M,L,XL,XXL,3XL",True,2026-01-14,Winter,False,Myntra_Unique,True,2025,,,discount
