Unnamed: 0,product_id,brand,gender,category,master_category,su_cCategory,article_type,mrp,price,discount,discount_type,discount_display_label,coupon_discount,best_price,rating,rating_count,listViews,inventory,available,sizes,has_multiple_sizes,snapshot_date,season,is_fast_fashion,promotion_tags,has_promotion,year,preferred_delivery_tag,delivery_promise
,27663642,Anouk,Women,Dresses,Apparel,Dress,Dresses,4999,549,4450,1,(Rs. 4450 OFF),193,356,0.0,0,0,436,True,"S,M,L,XL",True,2026-01-10,Summer,False,,False,2024,,
,31168861,HAY,Women,Dresses,Apparel,Dress,Dresses,5999,659,5340,1,(Rs. 5340 OFF),231,428,4.045454502105713,22,0,2,True,"S,M,L,XL,XXL",True,2026-01-10,Summer,True,Myntra_Unique,True,2024,,
,27929916,Purple State,Women,Dresses,Apparel,Dress,Dresses,5999,659,5340,1,(89% OFF),231,428,0.0,0,0,4,True,"S,M,L,XL",True,2026-01-10,Summer,False,,False,2024,,
,25941214,KALINI,Women,Dresses,Apparel,Dress,Dresses,5999,659,5340,1,(89% OFF),231,428,3.5,10,0,4,True,"XS,S,M,L,XL,XXL,3XL,4XL,5XL,6XL,7XL",True,2026-01-10,Fall,True,Myntra_Unique,True,2023,EXPRESS,Delivery By Jan 13
,30646268,plusS,Women,Dresses,Apparel,Dress,Dresses,2749,302,2447,1,(Rs. 2447 OFF),150,152,3.752293586730957,109,0,4,True,"S,M,L,XL,XXL,3XL,4XL",True,2026-01-10,Summer,True,Festive_Price_Crash|Crazy_Deal,True,2024,EXPRESS,Delivery By Jan 11
,27398968,KAORI BY SHREYA AGARWAL,Women,Dresses,Apparel,Dress,Dresses,5789,636,5153,1,(Rs. 5153 OFF),223,413,3.7142856121063232,49,0,10,True,"XS,S,M,L,XL,XXL,3XL,4XL,5XL,6XL",True,2026-01-10,Summer,True,GST_Benefit_Included,True,2024,,
,37548250,plusS,Women,Dresses,Apparel,Dress,Dresses,6699,736,5963,1,(Rs. 5963 OFF),258,478,4.55555534362793,9,0,19,True,"S,M,L,XL,XXL,3XL,4XL",True,2026-01-10,Summer,True,,False,2026,EXPRESS,Delivery By Jan 11
,37548265,plusS,Women,Dresses,Apparel,Dress,Dresses,6699,736,5963,1,(Rs. 5963 OFF),258,478,4.5714287757873535,7,0,7,True,"S,M,L,XL,XXL,3XL,4XL",True,2026-01-10,Summer,True,,False,2026,EXPRESS,Delivery By Jan 11
,34879789,Sztori,Women,Dresses,Apparel,Dress,Dresses,6699,736,5963,1,(Rs. 5963 OFF),258,478,3.799999952316284,5,0,3,True,"XXL,3XL,4XL,5XL,6XL",True,2026-01-10,Fall,True,,False,2025,EXPRESS,Delivery By Jan 12
,27819824,Purple State,Women,Dresses,Apparel,Dress,Dresses,6999,769,6230,1,(89% OFF),270,499,0.0,0,0,5,True,"S,M,L,XL",True,2026-01-10,Summer,False,,False,2024,,
,25952012,KALINI,Women,Dresses,Apparel,Dress,Dresses,8799,967,7832,1,(Rs. 7832 OFF),339,628,4.275862216949463,29,0,15,True,"XS,S,M,L,XL,XXL,3XL,4XL,5XL,6XL,7XL",True,2026-01-10,Summer,True,Crazy_Deal|Festive_Price_Crash|GST_Benefit_Included|Myntra_Unique,True,2023,EXPRESS,Delivery By Jan 13
,33166255,plusS,Women,Dresses,Apparel,Dress,Dresses,4999,549,4450,1,(89% OFF),193,356,4.400000095367432,45,0,6,True,"S,M,L,XL,XXL,3XL,4XL",True,2026-01-10,Summer,True,,False,2025,EXPRESS,Delivery By Jan 12
,31673076,Tokyo Talkies,Women,Dresses,Apparel,Dress,Dresses,3999,439,3560,1,(89% OFF),154,285,4.34375,64,0,28,True,"S,M,L,XL",True,2026-01-10,Winter,True,,False,2024,EXPRESS,Delivery By Jan 12
,33166308,plusS,Women,Dresses,Apparel,Dress,Dresses,2199,241,1958,1,(89% OFF),121,120,3.8974359035491934,78,0,5,True,"S,M,L,XL,XXL,3XL,4XL",True,2026-01-10,Summer,True,,False,2025,,
,33166277,plusS,Women,Dresses,Apparel,Dress,Dresses,2999,329,2670,1,(89% OFF),150,179,3.772727251052856,22,0,16,True,"S,M,L,XL,XXL,3XL,4XL",True,2026-01-10,Summer,True,,False,2025,EXPRESS,Delivery By Jan 12
,34477193,Stylecast X Kotty,Women,Dresses,Apparel,Dress,Dresses,2999,329,2670,1,(89% OFF),150,179,3.8035714626312256,56,0,14,True,"S,M,L,XL",True,2026-01-10,Fall,True,Crazy_Deal|Festive_Price_Crash|Myntra_Unique,True,2025,EXPRESS,Delivery By Jan 11
,33166296,plusS,Women,Dresses,Apparel,Dress,Dresses,3999,439,3560,1,(89% OFF),154,285,3.819999933242798,50,0,4,True,"S,M,L,XL,XXL,3XL,4XL",True,2026-01-10,Summer,True,,False,2025,EXPRESS,Delivery By Jan 12
,26660250,DRESOUL,Women,Dresses,Apparel,Dress,Dresses,6145,675,5470,1,(89% OFF),237,438,3.736842155456543,19,0,11,True,"S,M,L,XL,XXL",True,2026-01-10,Spring,True,,False,2024,,
,29224030,VASVI,Women,Dresses,Apparel,Dress,Dresses,6499,714,5785,1,(89% OFF),250,464,3.8333332538604736,12,0,16,True,"S,M,L,XL,XXL",True,2026-01-10,Summer,True,Festive_Price_Crash,True,2024,,
,31611526,plusS,Women,Dresses,Apparel,Dress,Dresses,2599,285,2314,1,(89% OFF),143,142,4.02648401260376,2190,0,8,True,"S,M,L,XL,XXL,3XL,4XL",True,2026-01-10,Summer,True,Festive_Price_Crash|Crazy_Deal,True,2024,EXPRESS,Delivery By Jan 11
,28342610,plusS,Women,Dresses,Apparel,Dress,Dresses,2499,274,2225,1,(89% OFF),137,137,4.244897842407227,49,0,6,True,"S,M,L,XL,XXL,3XL,4XL",True,2026-01-10,Summer,True,,False,2024,EXPRESS,Delivery By Jan 11
,31654569,Chandbaali,Women,Dresses,Apparel,Dress,Dresses,4999,549,4450,1,(89% OFF),193,356,0.0,0,0,2,True,"S,M,L,XL,XXL",True,2026-01-10,Summer,False,Crazy_Deal|Festive_Price_Crash,True,2025,,
,16707254,Athena,Women,Dresses,Apparel,Dress,Dresses,2799,307,2492,1,(89% OFF),150,157,3.931818246841431,44,0,1,True,"XS,S,M,L,XL,XXL",True,2026-01-10,Summer,True,Myntra_Unique,True,2022,EXPRESS,Delivery By Jan 12
,17900522,plusS,Women,Dresses,Apparel,Dress,Dresses,2999,329,2670,1,(89% OFF),150,179,4.247422695159912,97,0,9,True,"S,M,L,XL,XXL,3XL,4XL",True,2026-01-10,Summer,True,,False,2022,EXPRESS,Delivery By Jan 11
,27731676,ANVI Be Yourself,Women,Dresses,Apparel,Dress,Dresses,2998,329,2669,1,(89% OFF),150,179,4.110294342041016,136,0,2,True,"XS,S,M,L,XL,XXL",True,2026-01-10,Summer,True,,False,2024,EXPRESS,Delivery By Jan 12
,28342602,plusS,Women,Dresses,Apparel,Dress,Dresses,2599,285,2314,1,(89% OFF),143,142,4.266666889190674,30,0,4,True,"S,M,L,XL,XXL,3XL,4XL",True,2026-01-10,Summer,True,,False,2024,EXPRESS,Delivery By Jan 11
,26486592,DRESOUL,Women,Ethnic Dresses,Apparel,Dress,Ethnic Dresses,11195,1231,9964,1,(89% OFF),370,861,4.0714287757873535,14,0,5,True,"S,M,L,XL,XXL",True,2026-01-10,Spring,False,Festive_Price_Crash|GST_Benefit_Included,True,2024,,
