,product_id,brand,gender,category,master_category,su_cCategory,article_type,mrp,price,discount,discount_type,discount_display_label,coupon_discount,best_price,rating,rating_count,listViews,inventory,available,sizes,has_multiple_sizes,snapshot_date,season,is_fast_fashion,promotion_tags,has_promotion,year,preferred_delivery_tag,delivery_promise,source_sort
7933,29164014,Athena,Women,Dresses,Apparel,Dress,Dresses,2499,1249,1250,1.0,(50% OFF),375.0,874.0,4.28943920135498,767,0,13,True,"XS,S,M,L,XL,XXL",True,2026-01-14,Summer,True,GST_Benefit_Included|Myntra_Unique,True,2024,EXPRESS,Delivery By Jan 15,recommended
7934,33177927,CORSICA,Women,Dresses,Apparel,Dress,Dresses,2599,753,1846,1.0,(71% OFF),264.0,489.0,4.16666650772095,18,0,16,True,"S,M,L,XL,XXL",True,2026-01-14,Winter,True,Crazy_Deal|Festive_Price_Crash,True,2025,EXPRESS,Delivery By Jan 15,recommended
7935,15583258,Berrylush,Women,Dresses,Apparel,Dress,Dresses,2299,850,1449,1.0,(63% OFF),298.0,552.0,4.23013496398926,13944,0,231,True,"XS,S,M,L,XL",True,2026-01-14,Summer,True,Crazy_Deal|Festive_Price_Crash,True,2025,EXPRESS,Delivery By Jan 15,recommended
7936,32330175,Sangria,Women,Ethnic Dresses,Apparel,Dress,Ethnic Dresses,2999,689,2310,1.0,(77% OFF),242.0,447.0,3.34999990463257,40,0,2,True,"XS,S,M,L,XL,XXL",True,2026-01-14,Summer,False,Festive_Price_Crash|Crazy_Deal,True,2025,EXPRESS,Delivery By Jan 15,recommended
7937,28071740,Miss Chase A+,Women,Ethnic Dresses,Apparel,Dress,Ethnic Dresses,3245,1492,1753,1.0,(54% OFF),448.0,1044.0,3.5,6,0,53,True,"XS,S,M,L,XL,XXL,3XL",True,2026-01-14,Summer,False,Crazy_Deal|Festive_Price_Crash,True,2024,,,recommended
7938,32855112,Berrylush,Women,Dresses,Apparel,Dress,Dresses,3799,759,3040,1.0,(80% OFF),266.0,493.0,4.0625,16,0,6,True,"S,M,L,XL",True,2026-01-14,Summer,True,,False,2025,EXPRESS,Delivery By Jan 15,recommended
7939,25323600,StyleCast,Women,Dresses,Apparel,Dress,Dresses,2999,1049,1950,1.0,(65% OFF),350.0,699.0,3.0,48,0,13,True,"S,M,L,XL",True,2026-01-14,Winter,True,GST_Benefit_Included|Myntra_Unique,True,2023,EXPRESS,Delivery By Jan 15,recommended
7940,27616338,SASSAFRAS,Women,Dresses,Apparel,Dress,Dresses,2498,899,1599,1.0,(64% OFF),315.0,584.0,4.23649168014526,1277,0,4,True,"XS,S,M,L,XL,XXL",True,2026-01-14,Spring,True,Crazy_Deal|Festive_Price_Crash,True,2024,EXPRESS,Delivery By Jan 15,recommended
7941,19824978,StyleCast,Women,Dresses,Apparel,Dress,Dresses,2899,1130,1769,1.0,(61% OFF),350.0,780.0,3.89361691474915,47,0,67,True,"S,M,L,XL",True,2026-01-14,Summer,True,GST_Benefit_Included|Myntra_Unique,True,2022,EXPRESS,Delivery By Jan 15,recommended
7942,36266521,Phosphorus,Women,Dresses,Apparel,Dress,Dresses,2599,1195,1404,1.0,(54% OFF),359.0,836.0,0.0,0,0,12,True,"XS,S,M,L,XL",True,2026-01-14,Fall,False,,False,2025,EXPRESS,Delivery By Jan 15,recommended
7943,33671088,CORSICA,Women,Dresses,Apparel,Dress,Dresses,2299,712,1587,1.0,(69% OFF),250.0,462.0,0.0,0,0,25,True,"S,M,L,XL,XXL",True,2026-01-14,Winter,False,Festive_Price_Crash|Crazy_Deal,True,2025,EXPRESS,Delivery By Jan 15,recommended
7944,25757590,ONLY,Women,Dresses,Apparel,Dress,Dresses,3299,1484,1815,1.0,(55% OFF),446.0,1038.0,4.05882358551025,17,0,16,True,"XS,S,M,L,XL",True,2026-01-14,Winter,True,,False,2023,,,recommended
7945,31623756,Berrylush Curve,Women,Dresses,Apparel,Dress,Dresses,2149,1031,1118,1.0,(52% OFF),350.0,681.0,3.9319372177124,1337,0,36,True,"XXL,3XL,4XL,5XL,6XL,7XL",True,2026-01-14,Summer,True,Festive_Price_Crash,True,2025,EXPRESS,Delivery By Jan 15,recommended
7946,30961277,SASSAFRAS Curve,Women,Dresses,Apparel,Dress,Dresses,2399,935,1464,1.0,(Rs. 1464 OFF),328.0,607.0,4.34513282775879,113,0,39,True,"XXL,3XL,4XL,5XL,6XL",True,2026-01-14,Fall,True,Crazy_Deal|Festive_Price_Crash|GST_Benefit_Included,True,2024,,,recommended
7947,30195830,Chemistry,Women,Dresses,Apparel,Dress,Dresses,3699,998,2701,1.0,(73% OFF),350.0,648.0,3.94285702705383,35,0,10,True,"XS,S,M,L,XL",True,2026-01-14,Fall,True,Crazy_Deal|Festive_Price_Crash,True,2024,EXPRESS,Delivery By Jan 15,recommended
7948,34182423,bebe,Women,Dresses,Apparel,Dress,Dresses,3599,1223,2376,1.0,(66% OFF),367.0,856.0,2.345454454422,55,0,1,True,"S,M,L,XL",True,2026-01-14,Summer,True,Crazy_Deal|Festive_Price_Crash|GST_Benefit_Included,True,2025,EXPRESS,Delivery By Jan 15,recommended
7949,34826908,Moda Rapido,Women,Dresses,Apparel,Dress,Dresses,2499,471,2028,1.0,(81% OFF),165.0,306.0,0.0,0,0,99,True,"S,M,L,XL",True,2026-01-14,Summer,False,Crazy_Deal|Festive_Price_Crash,True,2025,EXPRESS,Delivery By Jan 15,recommended
7950,30640471,Athena,Women,Dresses,Apparel,Dress,Dresses,2499,774,1725,1.0,(69% OFF),271.0,503.0,4.18896722793579,852,0,5,True,"XS,S,M,L,XL,XXL",True,2026-01-14,Fall,True,Myntra_Unique,True,2024,EXPRESS,Delivery By Jan 15,recommended
7951,36338405,R.Code by The Roadster Life Co.,Women,Dresses,Apparel,Dress,Dresses,2499,670,1829,1.0,(73% OFF),235.0,435.0,1.92727267742157,55,0,4903,True,"S,M,L,XL",True,2026-01-14,Winter,True,,False,2025,EXPRESS,Delivery By Jan 15,recommended
7952,15096796,Berrylush,Women,Dresses,Apparel,Dress,Dresses,1699,764,935,1.0,(55% OFF),268.0,496.0,4.01762962341309,1021,0,10,True,"S,M,L,XL",True,2026-01-14,Summer,True,Festive_Price_Crash|Crazy_Deal,True,2025,EXPRESS,Delivery By Jan 17,recommended
7953,27747062,Berrylush Curve,Women,Dresses,Apparel,Dress,Dresses,2799,839,1960,1.0,(70% OFF),294.0,545.0,4.2639594078064,394,0,68,True,"XXL,3XL,4XL,5XL,6XL,7XL",True,2026-01-14,Summer,True,,False,2025,EXPRESS,Delivery By Jan 15,recommended
7954,25087372,Berrylush,Women,Dresses,Apparel,Dress,Dresses,4099,1598,2501,1.0,(61% OFF),480.0,1118.0,4.44154214859009,1608,0,7,True,"XS,S,M,L,XL",True,2026-01-14,Summer,True,Crazy_Deal|Festive_Price_Crash|GST_Benefit_Included,True,2025,EXPRESS,Delivery By Jan 17,recommended
7955,30761031,Tokyo Talkies,Women,Dresses,Apparel,Dress,Dresses,1849,332,1517,1.0,(82% OFF),117.0,215.0,4.18728399276733,1447,0,86,True,"S,M,L,XL",True,2026-01-14,Winter,True,Crazy_Deal|Festive_Price_Crash,True,2024,,,recommended
7956,35351955,TS LIFESTYLE,Women,Ethnic Dresses,Apparel,Dress,Ethnic Dresses,4999,1590,3409,1.0,(68% OFF),477.0,1113.0,4.05820083618164,189,0,68,True,"M,L,XL,XXL",True,2026-01-14,Winter,False,GST_Benefit_Included|Festive_Price_Crash,True,2025,EXPRESS,Delivery By Jan 15,recommended
7957,32024117,glitchez,Women,Dresses,Apparel,Dress,Dresses,1999,519,1480,1.0,(74% OFF),182.0,337.0,4.19318199157715,88,0,20,True,"XS,S,M,L,XL",True,2026-01-14,Winter,True,Crazy_Deal|Festive_Price_Crash|Myntra_Unique,True,2025,EXPRESS,Delivery By Jan 15,recommended
7958,13127152,Athena,Women,Dresses,Apparel,Dress,Dresses,1999,859,1140,1.0,(57% OFF),301.0,558.0,4.32198572158814,7755,0,13,True,"XS,S,M,L,XL,XXL",True,2026-01-14,Winter,True,Myntra_Unique,True,2020,EXPRESS,Delivery By Jan 15,recommended
7959,31623755,Berrylush Curve,Women,Dresses,Apparel,Dress,Dresses,1899,1082,817,1.0,(43% OFF),350.0,732.0,4.32472944259644,1201,0,6,True,"XXL,3XL,4XL,5XL,6XL,7XL",True,2026-01-14,Summer,True,Crazy_Deal|Festive_Price_Crash,True,2025,EXPRESS,Delivery By Jan 15,recommended
7960,32891825,DressBerry,Women,Dresses,Apparel,Dress,Dresses,3099,836,2263,1.0,(73% OFF),293.0,543.0,3.11111116409302,18,0,198,True,"S,M,L,XL",True,2026-01-14,Summer,True,Crazy_Deal|Festive_Price_Crash,True,2025,EXPRESS,Delivery By Jan 15,recommended
