product_id,brand,gender,category,master_category,su_cCategory,article_type,mrp,price,discount,discount_type,discount_display_label,coupon_discount,best_price,rating,rating_count,listViews,inventory,available,sizes,has_multiple_sizes,snapshot_date,season,is_fast_fashion,promotion_tags,has_promotion,year,preferred_delivery_tag,delivery_promise
33444618,MANGO,Women,Dresses,Apparel,Dress,Dresses,4090,1636,2454,1,(60% OFF),491,1145,4,46,0,13,True,"XS,S,M,L,XL",True,2026-01-10,Spring,True,Festive_Price_Crash|GST_Benefit_Included|Crazy_Deal|Myntra_Unique,True,2025,,
34180580,bebe,Women,Dresses,Apparel,Dress,Dresses,4299,1547,2752,1,(64% OFF),465,1082,3.94736838340759,19,0,185,True,"S,M,L,XL,XXL",True,2026-01-10,Summer,True,GST_Benefit_Included|Crazy_Deal|Festive_Price_Crash,True,2025,,
24729956,Globus,Women,Dresses,Apparel,Dress,Dresses,3299,1484,1815,1,(Rs. 1815 OFF),446,1038,4.21839094161987,174,0,27,True,"S,M,L,XL,XXL,3XL",True,2026-01-10,Winter,True,Crazy_Deal|GST_Benefit_Included|Festive_Price_Crash,True,2023,EXPRESS,Delivery By Jan 13
39173078,P R LABEL,Women,Dresses,Apparel,Dress,Dresses,3220,3220,0,,,500,2720,0,0,0,20,True,"XS,S,M,L,XL,XXL,3XL,4XL",True,2026-01-10,Summer,False,,False,2026,,
35954864,Pink Fort,Women,Dresses,Apparel,Dress,Dresses,3495,2376,1119,1,(32% OFF),500,1876,0,0,0,5,True,"XS,S,M,L,XL,XXL",True,2026-01-10,Winter,False,,False,2025,EXPRESS,Delivery By Jan 11
27842086,Athena,Women,Dresses,Apparel,Dress,Dresses,2799,1287,1512,1,(54% OFF),387,900,4.2195634841919,1421,0,23,True,"XS,S,M,L,XL,XXL",True,2026-01-10,Fall,True,Crazy_Deal|Festive_Price_Crash|GST_Benefit_Included|Myntra_Unique,True,2023,EXPRESS,Delivery By Jan 12
37111156,Libas,Women,Ethnic Dresses,Apparel,Dress,Ethnic Dresses,6999,2319,4680,1,(67% OFF),500,1819,4.64285707473755,28,0,116,True,"M,L,XL,XXL",True,2026-01-10,Winter,False,Myntra_Unique,True,2025,EXPRESS,Delivery By Jan 11
39108503,RITIRANG,Women,Dresses,Apparel,Dress,Dresses,4999,2508,2491,1,(50% OFF),500,2008,0,0,0,50,True,"XS,S,M,L,XL,XXL",True,2026-01-10,Summer,False,,False,2026,,
30228180,FableStreet,Women,Dresses,Apparel,Dress,Dresses,4495,2472,2023,1,(45% OFF),500,1972,4.31707334518433,41,0,91,True,"XS,S,M,L,XL,XXL",True,2026-01-10,Fall,True,Crazy_Deal|Festive_Price_Crash,True,2024,EXPRESS,Delivery By Jan 11
31610061,COVER STORY,Women,Dresses,Apparel,Dress,Dresses,6990,2097,4893,1,(70% OFF),500,1597,4.66666650772095,12,0,6,True,"XS,S,M,L,XL,XXL",True,2026-01-10,Winter,True,,False,2024,EXPRESS,Delivery By Jan 13
35944152,NEXT,Women,Dresses,Apparel,Dress,Dresses,6499,2924,3575,1,(55% OFF),500,2424,3.79999995231628,5,0,15,True,"XXS,XS,S,M,L,XL,XXL",True,2026-01-10,Fall,True,Myntra_Unique,True,2025,EXPRESS,Delivery By Jan 12
39022813,StyleCast,Women,Dresses,Apparel,Dress,Dresses,3449,3449,0,,,500,2949,0,0,0,200,True,"XS,S,M,L",True,2026-01-10,Winter,False,,False,2025,,
35343639,Juniper,Women,Ethnic Dresses,Apparel,Dress,Ethnic Dresses,6999,1931,5068,1,(72% OFF),500,1431,4.15555572509766,45,0,2,True,"S,M,L,XL,XXL",True,2026-01-10,Summer,False,Festive_Price_Crash|Crazy_Deal|GST_Benefit_Included,True,2025,EXPRESS,Delivery By Jan 13
32934750,Tushita,Women,Dresses,Apparel,Dress,Dresses,2999,996,2003,1,(67% OFF),349,647,4.12958431243897,409,0,111,True,"XS,S,M,L,XL",True,2026-01-10,Summer,True,,False,2025,EXPRESS,Delivery By Jan 13
37811562,Athena,Women,Dresses,Apparel,Dress,Dresses,2499,1424,1075,1,(43% OFF),428,996,0,0,0,200,True,"XS,S,M,L,XL,XXL",True,2026-01-10,Fall,False,,False,2025,EXPRESS,Delivery By Jan 12
39022693,StyleCast,Women,Dresses,Apparel,Dress,Dresses,3299,3299,0,,,500,2799,0,0,0,200,True,"XS,S,M,L",True,2026-01-10,Winter,False,,False,2025,,
30659631,bebe,Women,Dresses,Apparel,Dress,Dresses,7999,2399,5600,1,(70% OFF),500,1899,4.20689678192139,29,0,24,True,"XS,S,M,L,XL",True,2026-01-10,Fall,True,Crazy_Deal|Festive_Price_Crash,True,2024,EXPRESS,Delivery By Jan 12
32876917,MANGO,Women,Dresses,Apparel,Dress,Dresses,5790,2895,2895,1,(50% OFF),500,2395,4.25396823883057,63,0,8,True,"S,M,L",True,2026-01-10,Spring,True,Festive_Price_Crash|Crazy_Deal|Myntra_Unique,True,2025,EXPRESS,Delivery By Jan 12
33931744,bebe,Women,Dresses,Apparel,Dress,Dresses,5499,2144,3355,1,(61% OFF),500,1644,3.65000009536743,20,0,1,True,"S,M,L,XL",True,2026-01-10,Summer,True,Crazy_Deal|Festive_Price_Crash,True,2025,,
39238598,Straada,Women,Dresses,Apparel,Dress,Dresses,3000,1875,1125,1,(38% OFF),500,1375,0,0,0,50,True,Onesize,False,2026-01-10,Summer,False,,False,2026,,
33235963,Miss Mosa By Akanksha,Women,Dresses,Apparel,Dress,Dresses,3250,2598,652,1,(20% OFF),500,2098,2.33333325386047,6,0,7,True,"XS,S,M,L,XL",True,2026-01-10,Spring,True,Festive_Price_Crash,True,2025,EXPRESS,Delivery By Jan 13
12786752,anayna,Women,Ethnic Dresses,Apparel,Dress,Ethnic Dresses,3190,871,2319,1,(73% OFF),305,566,4.25340604782105,1101,0,90,True,"S,M,L,XL,XXL,3XL,4XL",True,2026-01-10,Spring,False,GST_Benefit_Included|Myntra_Unique,True,2020,,
26089242,StyleCast,Women,Dresses,Apparel,Dress,Dresses,4349,1652,2697,1,(62% OFF),496,1156,3.97499990463257,40,0,15,True,"S,M,L",True,2026-01-10,Winter,True,GST_Benefit_Included|Crazy_Deal|Festive_Price_Crash|Myntra_Unique,True,2023,EXPRESS,Delivery By Jan 12
38968400,StyleCast,Women,Dresses,Apparel,Dress,Dresses,3599,3599,0,,,500,3099,0,0,0,200,True,"XS,S,M,L",True,2026-01-10,Winter,False,,False,2025,,
38291893,Fusionic,Women,Ethnic Dresses,Apparel,Dress,Ethnic Dresses,9200,4875,4325,1,(47% OFF),500,4375,0,0,0,4,True,"XS,S,M,L,XL,XXL",True,2026-01-10,Spring,False,,False,2025,,
36655424,Trendyol,Women,Dresses,Apparel,Dress,Dresses,4599,2299,2300,1,(50% OFF),500,1799,0,0,0,72,True,"XS,S,M,L,XL",True,2026-01-10,Summer,False,Myntra_Unique,True,2025,EXPRESS,Delivery By Jan 12
38263873,H&M,Women,Dresses,Apparel,Dress,Dresses,2999,2999,0,1,,500,2499,3.94117641448975,17,0,15,True,"XXS,XS,S,M,L,XL",True,2026-01-10,Summer,True,,False,2026,EXPRESS,Delivery By Jan 11
39022758,StyleCast,Women,Dresses,Apparel,Dress,Dresses,3199,3199,0,,,500,2699,0,0,0,200,True,"XS,S,M,L,XL",True,2026-01-10,Winter,False,,False,2025,,
36920894,HERE&NOW,Women,Dresses,Apparel,Dress,Dresses,4599,1701,2898,1,(63% OFF),500,1201,3.33333325386047,9,0,261,True,"S,M,L,XL",True,2026-01-10,Fall,True,,False,2025,,
37819290,bebe,Women,Dresses,Apparel,Dress,Dresses,7099,3194,3905,1,(55% OFF),500,2694,0,0,0,273,True,"XS,S,M,L,XL,XXL",True,2026-01-10,Fall,False,Myntra_Unique,True,2025,,
31110702,HERE&NOW,Women,Dresses,Apparel,Dress,Dresses,3799,1747,2052,1,(54% OFF),500,1247,4.29629611968994,27,0,95,True,"S,M,L,XL",True,2026-01-10,Winter,True,Crazy_Deal|Festive_Price_Crash|GST_Benefit_Included,True,2024,,
38263873,H&M,Women,Dresses,Apparel,Dress,Dresses,2999,2999,0,1,,500,2499,3.94117641448975,17,0,15,True,"XXS,XS,S,M,L,XL",True,2026-01-10,Summer,True,,False,2026,EXPRESS,Delivery By Jan 11
29908096,Marks & Spencer,Women,Dresses,Apparel,Dress,Dresses,3999,1599,2400,1,(60% OFF),480,1119,3.14285707473755,7,0,14,True,"XS,S,M,L,XL,XXL,3XL,4XL",True,2026-01-10,Fall,True,Crazy_Deal|Festive_Price_Crash,True,2024,EXPRESS,Delivery By Jan 11
39052511,R&B,Women,Dresses,Apparel,Dress,Dresses,1699,1699,0,,,500,1199,0,0,0,12,True,"XS,S,M,L,XL,XXL",True,2026-01-10,Spring,False,,False,2026,EXPRESS,Delivery By Jan 13
